trig_exp,trig_item,sentence,trig_w1,trig1,trig_w2,trig2,gram,task,paus,trig_1,trig_2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exp_trials.thisRepN,exp_trials.thisTrialN,exp_trials.thisN,exp_trials.thisIndex,grating_1.started,grating_1.stopped,text_1.started,text_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,grating_2.started,grating_2.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating_3.started,grating_3.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,grating_4.started,grating_4.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,grating_5.started,grating_5.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,grating_6.started,grating_6.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,grating_7.started,grating_7.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,grating_8.started,grating_8.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,grating_9.started,grating_9.stopped,text_9.started,text_9.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,grating.started,grating.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,grating_14.started,grating_14.stopped,text_fix_4.started,text_fix_4.stopped,grating_16.started,grating_16.stopped,grating_40.started,grating_40.stopped,ISI_4.started,ISI_4.stopped,text_19.started,text_19.stopped,grating_24.started,grating_24.stopped,grating_35.started,grating_35.stopped,prompt.started,prompt.stopped,Button_Press.keys,Button_Press.corr,Button_Press.rt,Button_Press.started,Button_Press.stopped,grating_33.started,grating_33.stopped,grating_34.started,grating_34.stopped,Correct_Incorrect.started,Correct_Incorrect.stopped,Continue_text.started,Continue_text.stopped,Press_Bar.keys,Press_Bar.rt,Press_Bar.started,Press_Bar.stopped,grating_26.started,grating_26.stopped,grating_27.started,grating_27.stopped,text_10.started,text_10.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,grating_28.started,grating_28.stopped,text_11.started,text_11.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,grating_29.started,grating_29.stopped,text_12.started,text_12.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,grating_36.started,grating_36.stopped,text_14.started,text_14.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,grating_10.started,grating_10.stopped,text_fix.started,text_fix.stopped,grating_11.started,grating_11.stopped,grating_37.started,grating_37.stopped,ISI_2.started,ISI_2.stopped,text_15.started,text_15.stopped,grating_38.started,grating_38.stopped,text_fix_3.started,text_fix_3.stopped,key_resp_16.keys,key_resp_16.started,key_resp_16.stopped,key_resp_16.rt,grating_12.started,grating_12.stopped,text_17.started,text_17.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,participant,session,date,expName,psychopyVersion,frameRate
170,82,Smaragden är nästan ren och väger ganska mycket. ,4,,0,,COR,1,no,171,199,,,,,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.88379442254,None,1577.38454798162,None,1577.38454798162,None,left,1,0.510370057004366,1577.38454798162,None,,,,,,,,,,,,,1577.90448482314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.39353071375,None,1571.39353071375,None,1571.89360175581,None,1576.39435146611,1576.39435146611,0.00987096643712,None,1576.39435146611,1576.39435146611,1579.40487512152,None,1579.40487512152,None,None,0.008520686070369,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
170,49,Utställningen är väldigt populärt och har ett gott rykte. ,4,,0,,INC,1,no,172,199,,,,,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.40523645783,None,1585.90601535471,None,1585.90601535471,None,right,1,0.308699109103145,1585.90601535471,None,,,,,,,,,,,,,1586.22592916769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.41486321916,None,1579.41486321916,None,1579.91495029782,None,1584.91576944652,1584.91576944652,0.009871287170427,None,1584.91576944652,1584.91576944652,1587.72629188315,None,1587.72629188315,None,None,0.007590564202474,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
170,119,Snuset var för gammal för att ge effekt. ,4,,0,,INC,1,no,174,199,,,,,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.22656229203,None,1593.72729179623,None,1593.72729179623,None,right,1,0.359087338763857,1593.72729179623,None,,,,,,,,,,,,,1594.0973683645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.73632327957,None,1587.73632327957,None,1588.23636385213,None,1592.73716263437,1592.73716263437,0.009873532292659,None,1592.73716263437,1592.73716263437,1595.59765891533,None,1595.59765891533,None,None,0.007735534920357,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
130,76,Chefer får ofta lön som många tycker är för hög.,3,,4,,COR,1,no,137,138,,,,,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.09810380224,None,1602.59885287108,None,1602.59885287108,None,right,0,0.447337943102866,1602.59885287108,None,,,,,,,,,,,,,1603.0592192557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.6076168642,None,1595.6076168642,None,1596.10770618797,None,1601.60863518728,1601.60863518728,0.009870966438939,None,1601.60863518728,1601.60863518728,1604.55914834193,None,1604.55914834193,None,None,0.00799019587339,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
180,51,Locket som den omtänksamma föräldern till den lilla pojken hade satt på matlådan var lite lös och maten föll ur. ,16,,0,,INC,1,no,182,199,,,,,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.06046273242,None,1616.56122527199,None,1616.56122527199,None,right,1,0.388576692236711,1616.56122527199,None,,,,,,,,,,,,,1616.96156351562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604.56913708104,None,1604.56913708104,None,1605.06920748164,None,1615.57105184916,1615.57105184916,0.00987224936398,None,1615.57105184916,1615.57105184916,1618.46150543111,None,1618.46150543111,None,None,0.007947859292472,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
150,79,Kaffet innehöll mjölk och turisterna inte kunde dricka det.  ,6,,7,,INC,1,no,157,158,,,,,,,,,,,,,0,120,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.46186420157,None,1624.96263796674,None,1624.96263796674,None,right,1,4.11487550318725,1624.96263796674,None,,,,,,,,,,,,,1629.09322771853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.47143772145,None,1618.47143772145,None,1618.97162422692,None,1623.97246678904,1623.97246678904,0.00986326887778,None,1623.97246678904,1623.97246678904,1630.59361897911,None,1630.59361897911,None,None,0.007707951996963,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
150,29,Mekanikern krävde utrustning som föraren hade inte haft med sig. ,6,,7,,INC,1,no,153,154,,,,,,,,,,,,,0,121,121,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.08404003886,None,1637.58475382721,None,1637.58475382721,None,left,0,0.644344490197909,1637.58475382721,None,,,,,,,,,,,,,1638.2446342392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.60362760358,None,1630.60362760358,None,1631.10365470541,None,1636.59463364584,1636.59463364584,0.009873532291749,None,1636.59463364584,1636.59463364584,1639.7451361522,None,1639.7451361522,None,None,0.007972555631568,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
150,117,Personalen spred rykten som ledningen kunde inte stoppa.  ,6,,7,,INC,1,no,153,154,,,,,,,,,,,,,0,122,122,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.24539437328,None,1645.7461655726,None,1645.7461655726,None,right,1,0.274846201141372,1645.7461655726,None,,,,,,,,,,,,,1646.03642068578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.75514253155,None,1639.75514253155,None,1640.25525174069,None,1644.75601941196,1644.75601941196,0.009869042047285,None,1644.75601941196,1644.75601941196,1647.53647197078,None,1647.53647197078,None,None,0.008087698304735,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
170,54,Gatan var alltid tom på natten.  ,4,,0,,COR,1,no,171,199,,,,,,,,,,,,,0,123,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.03655443089,None,1652.53731568753,None,1652.53731568753,None,left,1,0.347460494677762,1652.53731568753,None,,,,,,,,,,,,,1652.89761827863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.54645140867,None,1647.54645140867,None,1648.04653592147,None,1651.54717337568,1651.54717337568,0.009870645706542,None,1651.54717337568,1651.54717337568,1654.39763909411,None,1654.39763909411,None,None,0.008063964161011,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
160,46,Den ensamma nattvakten öppnade ett skåp bakom disken som de oaktsamma kollegorna på arbetsplatsen inte kunde hitta.,15,,16,,COR,1,no,161,162,,,,,,,,,,,,,0,124,124,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.39868743768,None,1664.89940635774,None,1664.89940635774,None,left,1,0.409092294068614,1664.89940635774,None,,,,,,,,,,,,,1665.31923706914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.40763681371,None,1654.40763681371,None,1654.90758373262,None,1663.90923678369,1663.90923678369,0.009870645706542,None,1663.90923678369,1663.90923678369,1666.81976656507,None,1666.81976656507,None,None,0.007832716621124,None,,,,,,,,,,NENA_001,1,2020_Feb_25_1100,test7,3.2.4,99.9785476535845
